QBlade v0.963 64bit
NACA 2418
T1_Re0.050_M0.00_N9.0
Alpha = -10.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 
 0.4412   -0.660    -0.549    -1.288    -1.244
 0.4587   -0.626    -0.523    -1.275    -1.234
 0.4764   -0.592    -0.499    -1.262    -1.224
 0.4942   -0.558    -0.478    -1.248    -1.216
 0.5121   -0.526    -0.458    -1.235    -1.208
 0.5302   -0.495    -0.440    -1.223    -1.200
 0.5483   -0.464    -0.423    -1.210    -1.193
 0.5664   -0.434    -0.407    -1.198    -1.186
 0.5847   -0.405    -0.393    -1.185    -1.180
 0.6029   -0.377    -0.379    -1.174    -1.174
 0.6212   -0.350    -0.365    -1.162    -1.169
 0.6395   -0.323    -0.353    -1.150    -1.163
 0.6577   -0.297    -0.341    -1.139    -1.158
 0.6759   -0.271    -0.330    -1.128    -1.153
 0.6940   -0.246    -0.319    -1.116    -1.149
 0.7120   -0.222    -0.309    -1.105    -1.144
 0.7299   -0.198    -0.300    -1.094    -1.140
 0.7477   -0.174    -0.291    -1.083    -1.136
 0.7653   -0.150    -0.282    -1.072    -1.132
 0.7827   -0.127    -0.274    -1.061    -1.129
 0.7998   -0.103    -0.266    -1.050    -1.125
 0.8167   -0.080    -0.258    -1.039    -1.122
 0.8333   -0.056    -0.251    -1.028    -1.119
 0.8496   -0.032    -0.244    -1.016    -1.115
 0.8655   -0.007    -0.238    -1.004    -1.113
 0.8810    0.018    -0.232    -0.991    -1.110
 0.8960    0.044    -0.226    -0.978    -1.107
 0.9104    0.071    -0.221    -0.964    -1.105
 0.9243    0.100    -0.216    -0.949    -1.103
 0.9376    0.130    -0.211    -0.933    -1.100
 0.9501    0.162    -0.207    -0.915    -1.099
 0.9617    0.198    -0.203    -0.896    -1.097
 0.9724    0.238    -0.199    -0.873    -1.095
 0.9819    0.284    -0.196    -0.846    -1.094
 0.9901    0.341    -0.193    -0.812    -1.092
 0.9965    0.414    -0.191    -0.765    -1.091
 1.0000    0.549    -0.190    -0.672    -1.091


