QBlade v0.963 64bit
NACA 2418
T1_Re0.100_M0.00_N9.0
Alpha =   0.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.0287   -0.294    -0.367    -1.138    -1.169
 0.0346   -0.357    -0.428    -1.165    -1.195
 0.0410   -0.405    -0.472    -1.185    -1.213
 0.0479   -0.440    -0.505    -1.200    -1.227
 0.0553   -0.465    -0.527    -1.211    -1.236
 0.0632   -0.483    -0.542    -1.218    -1.242
 0.0715   -0.494    -0.550    -1.222    -1.245
 0.0803   -0.500    -0.554    -1.225    -1.247
 0.0896   -0.502    -0.553    -1.226    -1.246
 0.0993   -0.500    -0.550    -1.225    -1.245
 0.1095   -0.496    -0.543    -1.223    -1.242
 0.1201   -0.490    -0.535    -1.221    -1.239
 0.1311   -0.481    -0.525    -1.217    -1.235
 0.1425   -0.471    -0.513    -1.213    -1.230
 0.1544   -0.460    -0.501    -1.208    -1.225
 0.1666   -0.448    -0.487    -1.203    -1.219
 0.1792   -0.435    -0.473    -1.198    -1.214
 0.1922   -0.422    -0.458    -1.192    -1.208
 0.2055   -0.408    -0.443    -1.186    -1.201
 0.2192   -0.393    -0.428    -1.180    -1.195
 0.2333   -0.379    -0.412    -1.174    -1.188
 0.2476   -0.364    -0.397    -1.168    -1.182
 0.2623   -0.349    -0.381    -1.161    -1.175
 0.2773   -0.334    -0.366    -1.155    -1.169
 0.2926   -0.319    -0.350    -1.149    -1.162
 0.3081   -0.305    -0.336    -1.142    -1.156
 0.3239   -0.290    -0.321    -1.136    -1.149
 0.3400   -0.277    -0.307    -1.130    -1.143
 0.3564   -0.263    -0.293    -1.124    -1.137
 0.3729   -0.251    -0.280    -1.118    -1.131
 0.3897   -0.240    -0.267    -1.113    -1.126
 0.4067   -0.232    -0.255    -1.110    -1.120
 0.4239   -0.222    -0.242    -1.105    -1.115
 0.4412   -0.210    -0.231    -1.100    -1.109
 0.4587   -0.198    -0.219    -1.095    -1.104
 0.4764   -0.186    -0.208    -1.089    -1.099
 0.4942   -0.173    -0.197    -1.083    -1.094
 0.5121   -0.160    -0.187    -1.077    -1.089
 0.5302   -0.148    -0.177    -1.071    -1.085
 0.5483   -0.135    -0.168    -1.065    -1.081
 0.5664   -0.122    -0.160    -1.059    -1.077
 0.5847   -0.110    -0.153    -1.054    -1.074
 0.6029   -0.098    -0.146    -1.048    -1.070
 0.6212   -0.085    -0.139    -1.042    -1.067
 0.6395   -0.073    -0.133    -1.036    -1.065
 0.6577   -0.061    -0.128    -1.030    -1.062
 0.6759   -0.049    -0.123    -1.024    -1.060
 0.6940   -0.037    -0.118    -1.018    -1.058
 0.7120   -0.025    -0.114    -1.013    -1.056
 0.7299   -0.013    -0.110    -1.007    -1.054
 0.7477   -0.001    -0.107    -1.001    -1.052
 0.7653    0.011    -0.103    -0.995    -1.050
 0.7827    0.023    -0.100    -0.988    -1.049
 0.7998    0.036    -0.097    -0.982    -1.047
 0.8167    0.049    -0.094    -0.975    -1.046
 0.8333    0.062    -0.091    -0.968    -1.044
 0.8496    0.076    -0.088    -0.961    -1.043
 0.8655    0.091    -0.051    -0.954    -1.025
 0.8810    0.106    -0.002    -0.945    -1.001
 0.8960    0.123     0.041    -0.937    -0.979
 0.9104    0.140     0.075    -0.927    -0.962
 0.9243    0.160     0.102    -0.917    -0.947
 0.9376    0.181     0.126    -0.905    -0.935
 0.9501    0.205     0.146    -0.892    -0.924
 0.9617    0.232     0.164    -0.877    -0.914
 0.9724    0.263     0.179    -0.859    -0.906
 0.9819    0.301     0.193    -0.836    -0.898
 0.9901    0.350     0.205    -0.807    -0.892
 0.9965    0.416     0.214    -0.764    -0.887
 1.0000    0.540     0.218    -0.678    -0.884


