QBlade v0.963 64bit
NACA 2418
T1_Re0.050_M0.00_N9.0
Alpha =   0.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.0410   -0.387    -0.214     1.178     1.102
 0.0346   -0.311    -0.137     1.145     1.066
 0.0287   -0.224    -0.049     1.106     1.024
 0.0234   -0.124     0.051     1.060     0.974
 0.0186   -0.010     0.163     1.005     0.915
 0.0143    0.118     0.287     0.939     0.845
 0.0105    0.262     0.422     0.859     0.760
 0.0074    0.417     0.564     0.763     0.660
 0.0047    0.579     0.706     0.649     0.542
 0.0027    0.735     0.836     0.515     0.405
 0.0012    0.870     0.938     0.360     0.249
 0.0003    0.964     0.994     0.189     0.077
 0.0000    1.000     0.989     0.005    -0.105
 0.0003    0.966     0.916    -0.184    -0.290
 0.0012    0.866     0.780    -0.366    -0.469
 0.0027    0.713     0.600    -0.535    -0.633
 0.0047    0.532     0.399    -0.684    -0.775
 0.0074    0.346     0.201    -0.809    -0.894
 0.0105    0.171     0.022    -0.910    -0.989
 0.0143    0.018    -0.131    -0.991    -1.064
 0.0186   -0.109    -0.256    -1.053    -1.121
 0.0234   -0.213    -0.354    -1.101    -1.164
 0.0287   -0.294    -0.430    -1.138    -1.196
 0.0346   -0.357    -0.486    -1.165    -1.219
 0.0410   -0.405    -0.527    -1.185    -1.236
 0.0479   -0.440    -0.556    -1.200    -1.247
 0.0553   -0.465    -0.575    -1.211    -1.255
 0.0632   -0.483    -0.587    -1.218    -1.260
 0.0715   -0.494    -0.592    -1.222    -1.262
 0.0803   -0.500    -0.593    -1.225    -1.262
 0.0896   -0.502    -0.590    -1.226    -1.261
 0.0993   -0.500    -0.584    -1.225    -1.258
 0.1095   -0.496    -0.575    -1.223    -1.255
 0.1201   -0.490    -0.565    -1.221    -1.251
 0.1311   -0.481    -0.552    -1.217    -1.246
 0.1425   -0.471    -0.539    -1.213    -1.241
 0.1544   -0.460    -0.524    -1.208    -1.235
 0.1666   -0.448    -0.509    -1.203    -1.228
 0.1792   -0.435    -0.493    -1.198    -1.222
 0.1922   -0.422    -0.477    -1.192    -1.215
 0.2055   -0.408    -0.460    -1.186    -1.208
 0.2192   -0.393    -0.444    -1.180    -1.201
 0.2333   -0.379    -0.427    -1.174    -1.194
 0.2476   -0.364    -0.410    -1.168    -1.187
 0.2623   -0.349    -0.393    -1.161    -1.180
 0.2773   -0.334    -0.376    -1.155    -1.173
 0.2926   -0.319    -0.360    -1.149    -1.166
 0.3081   -0.305    -0.344    -1.142    -1.159
 0.3239   -0.290    -0.328    -1.136    -1.152
 0.3400   -0.277    -0.313    -1.130    -1.146
 0.3564   -0.263    -0.298    -1.124    -1.139
 0.3729   -0.251    -0.284    -1.118    -1.133
 0.3897   -0.240    -0.271    -1.113    -1.127
 0.4067   -0.232    -0.258    -1.110    -1.121
 0.4239   -0.222    -0.245    -1.105    -1.116
 0.4412   -0.210    -0.233    -1.100    -1.111
 0.4587   -0.198    -0.222    -1.095    -1.105
 0.4764   -0.186    -0.211    -1.089    -1.101
 0.4942   -0.173    -0.202    -1.083    -1.096
 0.5121   -0.160    -0.193    -1.077    -1.092
 0.5302   -0.148    -0.184    -1.071    -1.088
 0.5483   -0.135    -0.176    -1.065    -1.085
 0.5664   -0.122    -0.170    -1.059    -1.081
 0.5847   -0.110    -0.163    -1.054    -1.079
 0.6029   -0.098    -0.158    -1.048    -1.076
 0.6212   -0.085    -0.153    -1.042    -1.074
 0.6395   -0.073    -0.148    -1.036    -1.072
 0.6577   -0.061    -0.144    -1.030    -1.070
 0.6759   -0.049    -0.141    -1.024    -1.068
 0.6940   -0.037    -0.137    -1.018    -1.066
 0.7120   -0.025    -0.134    -1.013    -1.065
 0.7299   -0.013    -0.132    -1.007    -1.064
 0.7477   -0.001    -0.129    -1.001    -1.063
 0.7653    0.011    -0.127    -0.995    -1.062
 0.7827    0.023    -0.125    -0.988    -1.061
 0.7998    0.036    -0.123    -0.982    -1.060
 0.8167    0.049    -0.121    -0.975    -1.059
 0.8333    0.062    -0.120    -0.968    -1.058
 0.8496    0.076    -0.118    -0.961    -1.057
 0.8655    0.091    -0.117    -0.954    -1.057
 0.8810    0.106    -0.115    -0.945    -1.056
 0.8960    0.123    -0.114    -0.937    -1.055
 0.9104    0.140    -0.113    -0.927    -1.055
 0.9243    0.160    -0.111    -0.917    -1.054
 0.9376    0.181    -0.110    -0.905    -1.054
 0.9501    0.205    -0.109    -0.892    -1.053
 0.9617    0.232    -0.108    -0.877    -1.053
 0.9724    0.263    -0.095    -0.859    -1.047
 0.9819    0.301    -0.071    -0.836    -1.035
 0.9901    0.350    -0.051    -0.807    -1.025
 0.9965    0.416    -0.036    -0.764    -1.018
 1.0000    0.540    -0.029    -0.678    -1.014


